,Unnamed: 0,Number,Company,Role,Location,Application Link,Date Posted,Shared
0,0,4, **[PayPal](https://simplify.jobs/c/PayPal)** , Software Engineer \xe2\x80\x93 Recent Grad ," San Jose, CA "," <a href=""https://wd1.myworkdaysite.com/recruiting/paypal/jobs/job/San-Jose-California-United-States-of-America/Software-Engineer---Recent-Grad_R0105741-1?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/3adfbbcb-6f27-4bad-9e58-826acd3fbb20?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ",02/14,True
1,1,5, **[NVIDIA](https://simplify.jobs/c/NVIDIA)** , Compiler Engineer \xe2\x80\x93 New College Grad 2024 - Deep Learning ," Redmond, WA</br>Santa Clara, CA "," <a href=""https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Compiler-Engineer---Deep-Learning--New-College-Grad-2024_JR1979833?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/d951e174-1507-4b74-8f8b-0cc483ba6e19?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ",02/14,True
